Tmnt,sfc,p1,p1_ml,p1_iwp,p2,p2_ml,p2_iwp,timestamp
Indian Wells,Hard,Qinwen Zheng,+390,0.195,Iga Swiatek,−525,0.805,2025-03-12 21:06:24
Indian Wells,Hard,Mirra Andreeva,−225,0.656,Elina Svitolina,+175,0.344,2025-03-12 21:06:24
Indian Wells,Hard,Grigor Dimitrov,+650,0.127,Carlos Alcaraz,−1100,0.873,2025-03-12 21:06:25
Indian Wells,Hard,Arthur Fils,+225,0.291,Daniil Medvedev,−300,0.709,2025-03-12 21:06:25
Indian Wells,Hard,Tallon Griekspoor,+150,0.381,Holger Rune,−185,0.619,2025-03-12 21:06:25
