Rank,Player,Wins,Losses,yElo
55,Arthur Bouquier (https://www.tennisabstract.com/cgi-bin/player.cgi?p=ArthurBouquier),7,1,1725.2
56,Adam Walton (https://www.tennisabstract.com/cgi-bin/player.cgi?p=AdamWalton),12,6,1721.6
57,Jordan Thompson (https://www.tennisabstract.com/cgi-bin/player.cgi?p=JordanThompson),3,1,1720.3
58,Dalibor Svrcina (https://www.tennisabstract.com/cgi-bin/player.cgi?p=DaliborSvrcina),13,6,1719.9
59,Ethan Quinn (https://www.tennisabstract.com/cgi-bin/player.cgi?p=EthanQuinn),13,7,1719.5
60,Christopher Oconnell (https://www.tennisabstract.com/cgi-bin/player.cgi?p=ChristopherOconnell),6,5,1717.7
61,Juncheng Shang (https://www.tennisabstract.com/cgi-bin/player.cgi?p=JunchengShang),3,0,1717.4
62,Brandon Nakashima (https://www.tennisabstract.com/cgi-bin/player.cgi?p=BrandonNakashima),5,6,1716.4
63,Jacob Fearnley (https://www.tennisabstract.com/cgi-bin/player.cgi?p=JacobFearnley),8,4,1713.3
64,Michael Mmoh (https://www.tennisabstract.com/cgi-bin/player.cgi?p=MichaelMmoh),8,3,1710.9
65,Hugo Dellien (https://www.tennisabstract.com/cgi-bin/player.cgi?p=HugoDellien),10,4,1706.2
66,Fabian Marozsan (https://www.tennisabstract.com/cgi-bin/player.cgi?p=FabianMarozsan),7,6,1705.8
67,Lucas Pouille (https://www.tennisabstract.com/cgi-bin/player.cgi?p=LucasPouille),5,3,1704.6
68,Kyrian Jacquet (https://www.tennisabstract.com/cgi-bin/player.cgi?p=KyrianJacquet),12,3,1702.1
69,Daniel Altmaier (https://www.tennisabstract.com/cgi-bin/player.cgi?p=DanielAltmaier),8,9,1702
70,Tomas Martin Etcheverry (https://www.tennisabstract.com/cgi-bin/player.cgi?p=TomasMartinEtcheverry),7,7,1699.5
71,Borna Coric (https://www.tennisabstract.com/cgi-bin/player.cgi?p=BornaCoric),6,4,1698.9
72,Eliot Spizzirri (https://www.tennisabstract.com/cgi-bin/player.cgi?p=EliotSpizzirri),11,5,1697.5
73,Viktor Durasovic (https://www.tennisabstract.com/cgi-bin/player.cgi?p=ViktorDurasovic),12,3,1693.2
74,Mackenzie Mcdonald (https://www.tennisabstract.com/cgi-bin/player.cgi?p=MackenzieMcdonald),12,6,1690.5
75,Raphael Collignon (https://www.tennisabstract.com/cgi-bin/player.cgi?p=RaphaelCollignon),9,5,1689.9
76,Arthur Fils (https://www.tennisabstract.com/cgi-bin/player.cgi?p=ArthurFils),5,3,1687.1
77,Mattia Bellucci (https://www.tennisabstract.com/cgi-bin/player.cgi?p=MattiaBellucci),8,7,1685.9
78,Colton Smith (https://www.tennisabstract.com/cgi-bin/player.cgi?p=ColtonSmith),5,1,1683.7
79,Francesco Passaro (https://www.tennisabstract.com/cgi-bin/player.cgi?p=FrancescoPassaro),8,4,1682.4
80,Pedro Martinez (https://www.tennisabstract.com/cgi-bin/player.cgi?p=PedroMartinez),6,7,1680.8
