Tmnt,sfc,p1,p1_ml,p1_iwp,p2,p2_ml,p2_iwp,timestamp
Indian Wells,Hard,Qinwen Zheng,+390,19.55,Iga Swiatek,−525,80.45,2025-03-12 21:04:41
Indian Wells,Hard,Mirra Andreeva,−225,65.56,Elina Svitolina,+175,34.44,2025-03-12 21:04:41
Indian Wells,Hard,Grigor Dimitrov,+650,12.7,Carlos Alcaraz,−1100,87.3,2025-03-12 21:04:41
Indian Wells,Hard,Arthur Fils,+225,29.09,Daniil Medvedev,−300,70.91,2025-03-12 21:04:41
Indian Wells,Hard,Tallon Griekspoor,+150,38.13,Holger Rune,−185,61.87,2025-03-12 21:04:41
