Tmnt,sfc,p1,p1_ml,p1_iwp,p2,p2_ml,p2_iwp,timestamp
Indian Wells,Hard,Liudmila Samsonova,−2000,0.952,Jasmine Paolini,+1300,0.071,2025-03-12 20:58:58
Indian Wells,Hard,Qinwen Zheng,+390,0.204,Iga Swiatek,−525,0.84,2025-03-12 20:58:58
Indian Wells,Hard,Mirra Andreeva,−225,0.692,Elina Svitolina,+175,0.364,2025-03-12 20:58:58
Indian Wells,Hard,Grigor Dimitrov,+650,0.133,Carlos Alcaraz,−1100,0.917,2025-03-12 20:58:59
Indian Wells,Hard,Arthur Fils,+225,0.308,Daniil Medvedev,−300,0.75,2025-03-12 20:58:59
Indian Wells,Hard,Tallon Griekspoor,+150,0.4,Holger Rune,−185,0.649,2025-03-12 20:58:59
